count.balls,count.outs,count.pitch_count,count.strikes,day,description,errors,flags.is_ab_over,flags.is_bunt,flags.is_bunt_shown,flags.is_double_play,flags.is_hit,flags.is_passed_ball,flags.is_triple_play,flags.is_wild_pitch,half,hit_location,hit_type,hitter.first_name,hitter.id,hitter.last_name,hitter.preferred_name,inning,month,outcome_id,pitcher.first_name,pitcher.hitter_hand,pitcher.id,pitcher.last_name,pitcher.pitch_count,pitcher.pitch_speed,pitcher.pitch_type,pitcher.pitch_x,pitcher.pitch_y,pitcher.pitch_zone,pitcher.pitcher_hand,pitcher.preferred_name,pitcher_id,runner_1.description,runner_1.ending_base,runner_1.fielders,runner_1.first_name,runner_1.id,runner_1.jersey_number,runner_1.last_name,runner_1.out,runner_1.outcome_id,runner_1.preferred_name,runner_1.starting_base,runner_2.ending_base,runner_2.out,runner_2.outcome_id,runner_2.starting_base,runner_3.ending_base,runner_3.out,runner_3.outcome_id,runner_3.starting_base,runner_4.ending_base,runner_4.out,runner_4.outcome_id,runner_4.starting_base,year
0,0,1,1,03,Carlos Santana flies out to right field to Nomar Mazara.,,False,False,False,False,False,False,False,False,T,,,Carlos,86167542-e9cf-4d20-8022-7ed53dc09d0a,Santana,Carlos,1,04,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,1,94.0,FA,-23.0,-8.0,5.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2017
0,1,2,1,03,Carlos Santana flies out to right field to Nomar Mazara.,,True,False,False,False,False,False,False,False,T,15,FB,Carlos,86167542-e9cf-4d20-8022-7ed53dc09d0a,Santana,Carlos,1,04,oFO,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,2,95.0,FA,64.0,-69.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2017
1,1,1,0,03,Francisco Lindor walks.,,False,False,False,False,False,False,False,False,T,,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,Lindor,Francisco,1,04,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,3,96.0,FA,-11.0,-147.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2017
2,1,2,0,03,Francisco Lindor walks.,,False,False,True,False,False,False,False,False,T,,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,Lindor,Francisco,1,04,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,4,94.0,FA,64.0,-126.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2017
3,1,3,0,03,Francisco Lindor walks.,,False,False,False,False,False,False,False,False,T,,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,Lindor,Francisco,1,04,bB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,5,95.0,FA,-17.0,-147.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,,,,,,,,,,,,,,,,,,,,,,,2017
4,1,4,0,03,Francisco Lindor walks.,,True,False,False,False,False,False,False,False,T,,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,Lindor,Francisco,1,04,bDB,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,6,95.0,FA,-5.0,-134.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,AD1,Francisco,0.0,,,,,,,,,,,,,2017
0,1,1,1,03,Michael Brantley called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Michael,e7a7c661-1c6f-42a1-b4fb-edc2da7fb750,Brantley,Michael,1,04,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,7,96.0,FA,11.0,-17.0,5.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
0,1,2,2,03,Michael Brantley called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Michael,e7a7c661-1c6f-42a1-b4fb-edc2da7fb750,Brantley,Michael,1,04,kF,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,8,96.0,FA,52.0,-86.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
0,2,3,3,03,Michael Brantley called out on strikes.,,True,False,False,False,False,False,False,False,T,,,Michael,e7a7c661-1c6f-42a1-b4fb-edc2da7fb750,Brantley,Michael,1,04,kKL,Yu,L,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,9,83.0,SL,58.0,-82.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
1,2,1,0,03,Edwin Encarnación called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Edwin,8ec56596-5b8b-41f8-88a7-384f20b8b6a7,Encarnación,Edwin,1,04,bB,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,10,85.0,SL,-82.0,-126.0,12.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
1,2,2,1,03,Edwin Encarnación called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Edwin,8ec56596-5b8b-41f8-88a7-384f20b8b6a7,Encarnación,Edwin,1,04,kKL,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,11,83.0,SL,64.0,-78.0,9.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
1,2,3,2,03,Edwin Encarnación called out on strikes.,,False,False,False,False,False,False,False,False,T,,,Edwin,8ec56596-5b8b-41f8-88a7-384f20b8b6a7,Encarnación,Edwin,1,04,kKS,Yu,R,cc672f14-6c84-4dde-8beb-90664d467843,Darvish,12,97.0,FA,58.0,65.0,3.0,R,Yu,cc672f14-6c84-4dde-8beb-90664d467843,,1.0,,Francisco,98d3d7c1-16bb-490c-8e03-73567efdbabf,12,Lindor,False,,Francisco,1.0,,,,,,,,,,,,,2017
